cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
48136,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48178,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48203,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48210,0,1,0,0,0,0,0,0,0,0,1,0,1,1
48424,0,0,0,0,0,0,0,0,1,0,0,1,1,0
48530,1,0,0,0,1,1,0,0,0,0,2,0,2,0
48867,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48870,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48888,0,0,1,0,3,1,0,0,0,0,0,1,1,0
48900,0,0,5,0,0,0,0,0,5,0,0,0,0,0
48908,1,0,0,0,4,0,0,0,3,0,2,0,0,0
48928,0,0,1,1,0,1,1,0,0,1,0,1,0,0
48931,1,1,0,1,0,2,0,0,0,1,0,2,0,19
49167,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49190,0,0,0,0,0,3,0,0,0,2,0,0,0,0
49192,3,0,13,1,7,0,0,1,60,3,30,7,2,3
49241,0,0,0,0,0,0,0,0,3,1,0,0,1,0
49290,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49292,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49297,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49304,1,1,0,0,0,0,0,0,0,0,0,1,0,0
49305,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49306,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49639,0,0,2,0,1,0,0,0,1,0,1,0,0,0
49662,2,0,2,0,0,0,0,0,0,0,0,0,0,2
49670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49678,0,0,0,0,0,0,0,0,0,0,0,2,0,1
49949,2,0,0,0,0,1,0,0,2,1,2,1,0,1
50033,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50041,1,1,0,0,1,0,0,0,0,0,0,3,0,0
50042,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50280,1,0,1,0,0,0,0,0,0,0,0,0,1,1
50320,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50323,0,0,0,0,2,0,0,0,0,0,0,0,0,0
50360,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50364,0,0,0,0,3,1,0,0,0,0,0,0,0,0
50378,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50403,2,0,1,2,0,4,0,0,0,2,1,0,2,6
