population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
129,126154,7,4,0.56,12,0,62,-117.595999,33.435961,la,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,10,1,0.0,30,0,66,-117.64444,33.440228,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
80,82188,13,1,0.0,18,0,67,-117.639061,33.440256,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
115,82188,25,0,0.0,15,0,68,-117.633682,33.440284,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,82188,29,21,1.84,46,13,69,-117.628303,33.440311,la,0,0,0,0,0,4,2,0,1,4,0,0,0,0,3,2,5,0,1.33,1,1,1,1,1,1,2,4,8,11,14,16,16,15,15,15,15,12,11,6,5,2,1,1,16
190,100278,23,18,1.86,50,2189,70,-117.622925,33.440338,la,2,0,0,0,0,4,2,0,0,4,0,0,0,0,1,2,3,0,1.0,0,0,0,0,0,2,2,3,6,9,11,12,10,10,10,10,10,9,7,5,4,2,0,0,12
216,100278,18,0,0.0,50,0,71,-117.617546,33.440365,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,100278,12,0,0.0,55,0,72,-117.612167,33.440392,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,100278,9,0,0.0,11,0,73,-117.606788,33.440418,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,52284,10,4,1.39,26,0,74,-117.601409,33.440444,la,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
96,126154,12,13,1.41,49,0,75,-117.59603,33.44047,la,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
43,126154,11,0,0.0,6,0,76,-117.590651,33.440496,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,5,0.0,10,0,77,-117.585272,33.440522,la,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
159,61010,8,11,0.89,45,0,79,-117.649853,33.44471,la,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,4
97,82188,12,81,1.77,67,0,80,-117.644474,33.444738,la,3,0,0,0,2,3,10,0,11,35,0,0,0,0,1,2,11,3,1.0,2,2,2,2,2,2,3,4,12,22,23,26,26,26,26,26,26,13,9,6,5,4,2,2,27
