population,income,averlight,places,b_diversity,b_rating,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainm,finance,food,health,nightclub,office,other,public_use,recreation,religious,residentia,restaurant,retail,service,transporta,insta_like,b_price,b_opening_23,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9
494,88454,31,16,1.81,0,16,647,360,-117.720118,33.48494,la,0,0,0,0,3,3,1,0,0,4,0,0,0,0,1,3,1,0,24528,2,1,1,1,1,1,1,2,3,3,3,4,5,4,4,4,4,4,3,2,2,1,1,1,1,24,20,10,23,29,36,45,44,36,52,48,21,20,40,54,41,37,12,4,2,3,3,4,7
110,23962,25,41,1.39,0,70,84,369,-117.671683,33.48521,la,0,0,0,0,1,0,4,0,1,20,0,0,1,0,0,1,12,1,8,2,1,1,1,1,1,3,3,7,10,15,18,18,18,17,17,18,16,13,5,3,3,2,2,1,1,3,1,4,1,0,1,1,3,0,3,2,6,3,5,5,4,8,2,1,0,0,0,0
399,0,9,20,1.49,0,47,6,402,-117.730919,33.489387,la,0,0,0,0,2,0,1,0,7,7,0,0,0,0,1,0,2,0,53,2,0,0,0,0,0,0,0,3,5,8,8,8,8,7,7,7,8,5,4,2,2,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
304,48750,21,64,1.92,0,43,1,403,-117.725537,33.489418,la,1,0,2,0,5,3,15,0,6,22,0,0,1,0,1,5,3,0,1229,1.5,3,3,3,3,3,5,6,16,23,35,37,38,39,39,39,39,35,23,15,13,10,10,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,48909,20,0,0,0,47,7,412,-117.677099,33.48969,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0
272,0,7,55,1.7,0,39,7,445,-117.736339,33.493865,la,1,0,1,1,6,0,12,0,16,15,0,0,0,0,0,1,2,0,513,0,2,2,2,2,2,2,2,7,17,19,19,19,19,19,19,19,15,10,9,8,7,5,2,2,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,178417,41,15,1.59,0,51,12,451,-117.704046,33.494051,la,0,0,0,0,3,4,2,0,3,3,0,0,0,0,0,0,0,0,5,1.3,1,1,1,1,1,3,4,6,6,8,9,9,8,8,8,7,7,5,5,5,5,4,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0
227,0,6,4,1.39,0,27,285,489,-117.741759,33.498342,la,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,313,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,17,10,5,5,13,8,13,23,16,27,21,11,6,12,15,14,12,4,0,2,0,0,1,1
147,37054,31,93,1.89,0,50,19,504,-117.661022,33.498796,la,3,1,0,0,8,13,13,0,3,33,0,0,0,0,1,12,6,0,22,1.8,3,3,3,3,3,4,6,10,17,28,39,44,44,43,41,40,42,32,22,18,16,8,5,4,0,0,0,3,0,2,1,4,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1
152,40417,19,5,1.05,0,35,20,505,-117.65564,33.498824,la,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,52,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,3,4,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0
152,40417,17,4,0.56,0,42,55,506,-117.650257,33.498852,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,415,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,2,4,4,2,2,3,3,2,4,3,3,8,4,2,0,0,0,0,0,0,0
262,0,8,86,1.74,0,36,247,533,-117.747181,33.50282,la,2,1,0,0,3,3,33,0,5,26,0,0,0,0,1,3,6,3,1030,2.7,1,1,1,1,1,1,1,3,10,23,23,23,23,23,23,23,23,8,4,4,4,2,2,2,16,14,4,4,9,5,14,15,9,14,14,11,5,10,17,27,23,3,1,1,2,1,1,0
207,103409,9,81,0.59,0,30,434,534,-117.741798,33.502852,la,1,0,0,0,0,0,65,0,0,14,0,0,0,0,0,0,1,0,137,0,1,1,1,1,1,1,1,2,6,12,12,12,12,12,12,12,12,3,3,1,1,1,1,1,21,10,7,23,8,16,27,23,24,26,27,25,11,22,34,28,29,8,0,3,0,1,1,3
244,81581,7,5,1.33,0,11,2,535,-117.736415,33.502884,la,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,39650,50,268,1.91,0,58,259,548,-117.666439,33.503277,la,5,6,3,1,11,19,9,2,15,126,0,4,1,0,7,19,36,4,5811,1.8,1,1,1,1,1,2,5,7,19,35,45,56,55,55,55,54,53,38,28,20,14,6,1,1,20,5,5,5,5,9,10,12,8,7,9,11,2,15,12,14,13,3,0,0,1,3,1,1
152,37054,43,100,1.85,0,68,31,549,-117.661056,33.503306,la,1,0,0,0,6,7,16,0,6,40,0,0,3,0,2,6,13,0,30,1.2,4,4,4,4,4,6,9,13,21,34,36,36,35,34,34,34,33,18,15,12,10,8,6,4,3,1,1,2,4,2,4,0,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1
149,37054,28,113,1.65,0,49,18,550,-117.655674,33.503334,la,0,0,1,0,11,7,24,0,4,52,0,0,1,0,0,3,7,3,591,2,3,3,3,3,3,3,5,8,20,33,35,39,39,37,40,40,39,26,16,15,12,5,4,4,1,0,3,2,3,1,2,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0
4,152092,7,2,0.69,0,21,74,555,-117.628759,33.503472,la,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,0,1,3,2,7,1,3,2,3,2,1,5,6,2,8,0,0,0,0,0,0,1
224,103409,7,41,1.39,0,37,48,579,-117.747219,33.507329,la,0,0,0,0,1,1,2,0,15,18,0,0,0,0,2,1,1,0,170,2,0,0,0,0,0,0,0,2,7,18,19,20,20,19,19,19,19,12,7,6,5,1,0,0,2,0,0,1,2,2,7,1,1,7,7,3,0,3,2,3,4,0,1,0,0,0,1,0
243,81581,9,14,1.35,0,17,12,581,-117.736453,33.507393,la,0,0,0,0,1,0,1,0,1,8,0,2,0,0,0,1,0,0,21417,0,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,3,2,2,2,2,1,1,0,0,0,0,1,1,1,1,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0
148,60548,32,33,1.79,0,59,96,594,-117.666474,33.507786,la,0,0,9,0,0,1,1,0,2,11,0,0,4,0,0,1,3,1,9139,0,0,0,0,0,0,0,0,1,8,12,14,14,14,14,14,13,9,6,4,1,1,0,0,0,5,6,1,5,2,4,3,2,6,6,4,7,1,9,3,9,6,1,2,0,0,0,0,1
86,37054,31,67,1.56,0,54,11,595,-117.661091,33.507815,la,1,0,0,0,7,3,11,0,9,32,0,0,1,0,0,0,3,0,2566,0,0,0,0,0,0,0,0,4,11,20,20,21,21,21,21,21,20,12,8,6,5,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1
12,37054,25,45,2.03,0,53,44,596,-117.655708,33.507843,la,2,0,1,0,1,4,6,0,10,12,0,0,1,0,1,2,5,0,156,2,3,3,3,3,3,4,5,7,9,15,16,19,19,19,19,19,17,14,8,6,5,3,3,3,3,1,1,0,5,1,4,2,5,2,2,7,1,2,1,0,3,1,0,0,0,0,0,0
4,134492,9,7,1.48,0,41,8,598,-117.644941,33.507899,la,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,115,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
101,0,7,1,0,0,7,8,624,-117.758025,33.511774,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
268,103409,6,12,1.58,0,33,457,625,-117.752641,33.511806,la,0,1,0,0,1,0,0,0,0,5,0,2,0,0,0,1,0,2,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,10,12,18,20,20,23,18,23,24,26,6,29,32,36,32,5,4,2,1,2,4,2
4,136250,8,9,1.21,0,46,1,644,-117.650358,33.512381,la,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,4,0,5814,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,152092,7,17,1.04,0,40,6,646,-117.639591,33.512437,la,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,6,0,56219,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
