,Unnamed: 0,population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant,retail,service,transportation,b_price,insta_like,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_people,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
55959,55959,305,32356,70,564,1.24,62,187,58737,-105.02032,39.617195,denver,4,4,0,0,367,11,25,0,19,94,0,0,1,0,4,18,17,0,2.25,10312,7,2,8,7,11,10,22,10,15,16,16,17,0,11,8,12,7,0,0,0,3,0,0,5,3,3,3,3,3,3,5,12,20,45,66,74,75,74,75,74,71,48,30,17,9,7,5,3,83,22,28,3,1,5,24,14,19,1,13,6,25,5,2
55960,55960,449,27453,58,82,1.62,49,1,58738,-105.014494,39.617196,denver,0,1,2,0,8,1,9,0,24,32,1,0,0,0,0,1,3,0,0.0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,7,14,17,19,19,19,19,19,19,19,10,7,4,2,2,1,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55961,55961,531,52679,42,81,1.56,48,4,58739,-105.008669,39.617197,denver,0,0,0,0,41,3,4,0,3,18,0,0,1,0,2,1,6,2,1.0,70,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,11,16,19,20,59,59,60,60,58,56,49,47,44,42,42,3,62,0,1,0,0,0,0,2,0,0,0,0,0,1,0
55962,55962,588,52679,34,46,1.6,46,7,58740,-105.002844,39.617197,denver,2,0,0,0,1,0,3,0,7,22,0,0,2,0,0,0,7,2,1.5,179,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,11,15,20,21,22,22,22,22,22,12,5,4,4,3,2,1,23,0,3,0,1,0,0,0,0,0,0,0,0,1,1
55963,55963,1071,35066,59,62,1.79,44,7,58741,-104.997019,39.617197,denver,1,1,0,0,1,2,6,0,7,30,0,0,1,0,2,2,6,3,1.5,225,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,9,17,21,23,23,23,23,21,18,6,6,3,3,2,2,2,24,1,2,0,0,0,0,2,0,0,1,0,1,0,0
55964,55964,464,35646,138,55,1.98,75,32,58742,-104.991194,39.617197,denver,0,0,0,0,6,5,5,0,8,17,0,0,0,0,2,2,7,3,1.17,1025,1,0,2,4,4,0,1,2,6,1,3,2,0,1,1,0,0,1,0,0,0,0,2,1,1,1,1,1,1,2,2,7,10,19,24,26,25,24,25,25,24,17,11,6,6,3,3,1,30,2,4,0,3,2,2,2,4,0,2,0,4,0,1
55965,55965,381,51875,86,2,0.0,40,23,58743,-104.985369,39.617196,denver,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,749,0,7,0,0,0,2,0,0,0,0,0,2,1,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,10
55966,55966,204,250001,19,2,0.69,19,0,58744,-104.979543,39.617195,denver,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55967,55967,172,250001,13,2,0.69,16,0,58745,-104.973718,39.617194,denver,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55968,55968,172,250001,13,3,0.64,16,0,58746,-104.967893,39.617192,denver,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55969,55969,121,250001,13,7,1.08,16,0,58747,-104.962068,39.617191,denver,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55970,55970,92,250001,10,1,0.0,7,0,58748,-104.956243,39.617189,denver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55971,55971,92,250001,18,1,0.0,23,0,58751,-104.938767,39.617181,denver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55972,55972,92,250001,19,3,1.1,25,0,58752,-104.932942,39.617177,denver,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
